date,adj_open,adj_high,adj_low,adj_close,adj_volume
2000-01-03,24.4900022613,24.893927748,24.0860767745,24.2112936754,4663700.0
2000-01-04,24.1103123037,24.4132564188,23.1247341161,23.4276782311,5005800.0
2000-01-05,23.8316037179,24.5627088489,23.6296409745,24.2112936754,6368500.0
2000-01-06,24.2669784681,24.2669784681,23.7343977713,24.088096402,4705600.0
2000-01-07,23.9376728464,24.0108518734,23.5026641856,23.9092143359,5043800.0
2000-01-10,23.9092143359,24.112489411,23.5026641856,23.7831837893,4487800.0
2000-01-11,23.4782711766,23.7343977713,23.2749961015,23.5595812067,3694400.0
2000-01-12,22.9212974708,23.4294851586,22.7668084137,22.7668084137,4288100.0
2000-01-13,23.1733585639,23.2506030925,22.5879263476,22.5879263476,3783700.0
2000-01-14,22.7424154047,23.0229350083,22.5879263476,22.8928389603,3180500.0
2000-01-18,23.1733585639,24.3686160056,23.0961140354,23.8848213268,4861700.0
2000-01-19,23.376633639,23.7831837893,23.376633639,23.4294851586,2962300.0
2000-01-20,23.6043017232,24.088096402,23.5026641856,23.5026641856,2711000.0
2000-01-21,24.3442229966,24.9255897115,23.9864588644,24.4174020237,5706500.0
2000-01-24,24.5190395612,24.7223146364,24.3686160056,24.4458605342,3908300.0
2000-01-25,24.4174020237,24.4946465522,23.6571532427,23.7831837893,4420200.0
2000-01-26,23.8848213268,23.9620658554,23.4010266481,23.4782711766,4054100.0
2000-01-27,23.5799087142,23.8848213268,23.2262100835,23.6815462517,3124900.0
2000-01-28,23.5555157052,23.9376728464,23.1977515729,23.4294851586,3357400.0
2000-01-31,23.4010266481,25.6126594654,23.1977515729,25.1817163061,5373000.0
2000-02-01,24.6979216273,24.954048222,24.088096402,24.2141269485,4674000.0
2000-02-02,24.4174020237,24.4458605342,24.0393103839,24.112489411,2948400.0
2000-02-03,24.2913714771,24.4458605342,23.5799087142,23.7587907803,2589900.0
2000-02-04,23.8848213268,24.2669784681,23.7059392607,23.8075767983,3401800.0
2000-02-07,23.8075767983,24.3686160056,23.5555157052,24.2913714771,3313900.0
2000-02-08,24.3157644861,24.5962840898,23.8604283178,23.9864588644,3069200.0
2000-02-09,23.9864588644,24.063703393,23.376633639,23.5026641856,3224600.0
2000-02-10,23.4538781676,23.4782711766,23.1245725459,23.1977515729,2851600.0
2000-02-11,23.1489655549,23.1733585639,22.1325901793,22.7668084137,3436700.0
2000-02-14,22.7668084137,22.8928389603,22.3114722454,22.48628881,2905400.0
2000-02-15,22.413109783,22.413109783,21.9537081132,22.0553456507,3995700.0
2000-02-16,21.9781011222,22.48628881,21.9781011222,22.3846512724,3747200.0
2000-02-17,22.6895638851,22.7424154047,21.7504330381,21.8520705756,3358400.0
2000-02-18,21.7748260471,21.8764635846,20.9617257466,21.0918217947,4291100.0
2000-02-22,21.3438828878,21.4699134344,20.811302191,21.2422453503,3589500.0
2000-02-23,20.786909182,21.1650008217,20.3519005212,20.4291450498,4013600.0
2000-02-24,20.3519005212,20.5307825873,19.4656211937,19.5144072117,6266600.0
2000-02-25,19.3111321366,20.0754464191,19.2623461186,19.3355251456,5269300.0
2000-02-28,19.4371626832,20.7096646534,19.3883766651,20.2787214942,4322400.0
2000-02-29,20.3275075122,20.3803590317,19.5916517403,19.896564353,5199300.0
2000-03-01,21.6000094825,22.3602582634,21.1934593322,22.3358652544,7936600.0
2000-03-02,22.0065596327,22.5147473205,21.9781011222,22.461895801,4752100.0
2000-03-03,22.5147473205,22.8196599332,22.413109783,22.48628881,4411300.0
2000-03-06,22.8440529422,23.1733585639,22.2342277169,23.1733585639,4410300.0
2000-03-07,23.1733585639,23.4782711766,22.5879263476,22.6163848581,3890400.0
2000-03-08,22.2830137349,23.1977515729,22.2830137349,22.9700834888,3478000.0
2000-03-09,22.9212974708,23.8360353088,22.6895638851,23.8360353088,4054300.0
2000-03-10,23.7587907803,23.7587907803,23.0961140354,23.2993891105,3984000.0
2000-03-13,23.0229350083,23.2993891105,22.7424154047,23.2506030925,3737700.0
2000-03-14,22.9212974708,23.0473280173,22.7180223956,22.7912014227,3694200.0
